,time,P,T,RH,RPH,WD,WV,year,month,day,WV_X,WV_Y,RPH_ld,RPH_jy
0,2008-06-01,723.3958333333335,10.354166666666666,42,0.0,161,5.7250000000000005,2008,6,1,-5.413093845306089,1.8638776842672216,0.0,0.0
1,2008-06-02,722.1833333333334,11.737499999999995,33,0.0,282,9.770833333333332,2008,6,2,2.0314704790318574,-9.557317182169893,0.0,0.0
2,2008-06-03,724.1083333333332,10.866666666666667,39,0.0,216,5.9875000000000025,2008,6,3,-4.843989253819999,-3.519364198101184,0.0,0.0
3,2008-06-04,721.8125,13.954166666666666,55,0.0,200,5.195833333333334,2008,6,4,-4.882486242166784,-1.7770796613629536,0.0,0.0
4,2008-06-05,720.375,10.445833333333333,77,3.3,170,7.5791666666666675,2008,6,5,-7.464022094705028,1.316108479900609,2.8,5.5
5,2008-06-06,723.2375000000003,5.695833333333334,94,8.2,39,6.6708333333333325,2008,6,6,5.184211184552543,4.198091441961623,6.9,11.1
6,2008-06-07,722.6500000000003,9.883333333333333,63,0.0,70,5.958333333333332,2008,6,7,2.0378700206487763,5.599001865516035,0.0,0.0
7,2008-06-08,722.75,11.675,62,0.0,100,4.9416666666666655,2008,6,8,-0.8581114113040804,4.866591646135327,0.0,0.0
8,2008-06-09,722.8458333333334,10.0125,74,3.2,98,5.145833333333333,2008,6,9,-0.7161615820236696,5.095754437065997,0.0,1.4
9,2008-06-10,722.7000000000003,10.316666666666668,79,0.0,111,4.775,2008,6,10,-1.7112069590788088,4.457846536524139,0.6,0.2
10,2008-06-11,721.9083333333333,11.066666666666665,69,2.4000000000000004,177,4.070833333333333,2008,6,11,-4.065254397730077,0.2130509552056504,17.3,0.6
11,2008-06-12,720.4874999999997,12.854166666666664,63,0.0,192,3.204166666666667,2008,6,12,-3.134147937351236,-0.6661837093285712,6.4,0.0
12,2008-06-13,720.4541666666668,10.929166666666667,80,12.1,54,4.541666666666667,2008,6,13,2.6695246874949823,3.6742855161195536,6.8,8.1
13,2008-06-14,721.5166666666668,6.2624999999999975,98,19.5,74,8.233333333333334,2008,6,14,2.26941422955996,7.914387963225492,13.7,12.900000000000002
14,2008-06-15,721.2083333333335,6.366666666666667,87,3.2,151,4.7625,2008,6,15,-4.1653763552513725,2.3089058164231813,3.4,1.4
15,2008-06-16,719.8875000000003,9.554166666666667,77,2.7,157,5.4250000000000025,2008,6,16,-4.993738829979491,2.1197163720543117,1.5,6.1000000000000005
16,2008-06-17,716.8250000000003,10.725,85,0.0,229,7.008333333333334,2008,6,17,-4.597880361508472,-5.289256308061262,0.0,0.0
